PSR_ID,lat,lon,area_km2,n_overview_px,mean_slope_deg,mean_roughness_rms_m,mean_illumination_fraction,mean_hazard_score
SP_859560_3063890,-85.956,306.389,12.791,75,12.047086466950214,117.8124110558669,0.0,0.5539469412121969
SP_862670_2349900,-86.267,234.99,16.027,99,12.103761480939834,117.95848734392841,0.0,0.5546280442537097
SP_825890_0285130,-82.588,28.517,11.916,69,11.888618511556267,121.28298985690529,0.0,0.5554664662375352
SP_818520_3197490,-81.852,319.749,5.926,36,12.2931612215221,117.12126096013655,0.0,0.5557342914722886
SP_810340_0483070,-81.034,48.306,11.729,70,12.020194391494549,120.55076117320378,0.0,0.5561020363353412
SP_847970_3487750,-84.797,348.775,7.729,46,12.047734655107176,121.24416991224425,0.0,0.5569824111176378
SP_809720_0022940,-80.972,2.294,18.029,110,12.095779136861534,122.63519413945463,0.0,0.5586783242816818
SP_818570_2309500,-81.857,230.95,7.708,48,12.204482719020026,121.89366884039147,0.0,0.5590828519568852
SP_811530_3275110,-81.153,327.511,6.073,37,11.95742406606134,124.67284628047209,0.0,0.5591289819559978
SP_824700_2291520,-82.47,229.151,15.804,101,12.023173417231854,124.8378675004175,0.0,0.5599152153239727
SP_818620_3499460,-81.862,349.946,27.331,167,12.101737346501235,125.63748251306123,0.0,0.5613864415413468
SP_842140_3232340,-84.214,323.223,14.342,89,12.13985636736912,125.9417274705336,0.0,0.5620263730855274
SP_842540_3177610,-84.254,317.761,9.99,60,12.306838561906908,124.41906773936223,0.0,0.562309194033409
SP_853600_3177620,-85.36,317.758,42.718,258,12.264721520208518,124.9177923256247,0.0,0.5623390787117274
SP_892100_3421950,-89.21,342.195,5.717,36,12.751042259749095,119.5682353581109,0.0,0.5623551619556515
SP_840090_2612130,-84.009,261.213,5.573,33,12.797634701679657,120.85161916163065,0.0,0.563941916064157
SP_814140_2963110,-81.414,296.311,43.111,260,12.382674921935347,125.63449530116192,0.0,0.5641208771629334
SP_811730_1243120,-81.173,124.312,9.061,54,12.35994656305213,126.10129765162573,0.0,0.5643114814982989
SP_816910_3053810,-81.69,305.38,377.809,2303,12.301880143329603,127.13478676772799,0.0,0.5646580047045202
