Latitude(deg.),Longitude(deg.),Slant_Range(m),Incidence_Angle(deg.)
-80.374464,80.070016,111248.178631,25.106984
-80.373170,79.953641,111551.780799,25.389207
-80.371789,79.832728,111854.987520,25.684612
-80.370394,79.714254,112158.811901,25.971644
-80.368878,79.588565,112462.130570,26.280101
-80.367447,79.474107,112766.243921,26.553299
-80.366067,79.367123,113070.324127,26.802946
-80.377129,80.264291,110639.427555,24.657592
-80.376037,80.162298,110943.620713,24.897243
-80.375003,80.069216,111248.159563,25.108797
-80.373711,79.953178,111551.783531,25.389964
-80.372334,79.832640,111854.994465,25.684203
-80.370944,79.714601,112158.812752,25.969887
-80.369419,79.588046,112462.132405,26.280969
-80.367989,79.473748,112766.214720,26.553667
-80.366607,79.366582,113070.308066,26.803847
-80.377657,80.262336,110639.365604,24.662985
-80.376573,80.161217,110943.590667,24.899936
-80.375541,80.068410,111248.140207,25.110627
-80.374251,79.952613,111551.773234,25.391036
-80.372874,79.832073,111855.121507,25.685227
-80.371497,79.715236,112158.827533,25.967244
-80.369958,79.587455,112462.141819,26.282051
-80.368530,79.473278,112766.171739,26.554373
-80.367147,79.366023,113070.295141,26.804801
-80.378185,80.260387,110639.303479,24.668360
-80.377109,80.160212,110943.563939,24.902392
-80.376077,80.067389,111248.113643,25.113116
-80.374788,79.951658,111551.724395,25.393309
-80.373413,79.831348,111855.003781,25.686792
-80.372051,79.716001,112158.884206,25.964195
-80.370496,79.586668,112462.100860,26.283750
-80.369070,79.472738,112766.134107,26.555294
-80.367686,79.365413,113070.277957,26.805913
-80.378713,80.258453,110639.240867,24.673689
-80.377645,80.159156,110943.534886,24.905009
-80.376612,80.066304,111248.084554,25.115802
-80.375325,79.950772,111551.727665,25.395359
-80.373947,79.830227,111855.028645,25.689534
-80.372606,79.716821,112158.886666,25.960992
-80.371032,79.585805,112462.057686,26.285677
-80.369610,79.472161,112766.092578,26.556330
-80.368225,79.364794,113070.262722,26.807051
-80.379241,80.256558,110639.184680,24.678893
-80.378181,80.158077,110943.505424,24.907690
-80.377145,80.064976,111248.043685,25.119230
-80.375863,79.949959,111551.728846,25.397183
-80.374481,79.829107,111854.878129,25.692314
-80.373162,79.717733,112158.906892,25.957504
-80.371568,79.584838,112461.991665,26.287928
-80.370147,79.471359,112766.075954,26.558046
-80.368764,79.364164,113070.251203,26.808221
-80.379771,80.254800,110639.130789,24.683682
-80.378715,80.156825,110943.468720,24.910905
-80.377677,80.063574,111247.999535,25.122887
-80.376402,79.949250,111551.725881,25.398694
-80.375017,79.828116,111854.968808,25.694641
-80.373712,79.718020,112158.958076,25.955919
-80.372103,79.583856,112461.913339,26.290228
-80.370684,79.470575,112766.067543,26.559703
-80.369303,79.363545,113070.243709,26.809355
-80.380304,80.253407,110639.092617,24.687347
-80.379249,80.155564,110943.436628,24.914149
-80.378209,80.062086,111247.950947,25.126807
-80.376941,79.948588,111551.719959,25.400058
