PSR_ID,lat,lon,area_km2,px_with_radar_data,high_tier_fraction,moderate_plus_fraction,anomaly_score,is_anomaly_iforest_label,anomaly_rank
SP_814210_0535940,-81.421,53.594,9.403,51,0,0.039215686,-0.103945717,FALSE,204
SP_810100_0472230,-81.01,47.223,7.898,48,0,0.041666667,-0.104008466,FALSE,205
SP_813840_3355180,-81.384,335.518,5.225,26,0,0.076923077,-0.104133812,FALSE,206
SP_824450_2271370,-82.445,227.137,20.005,111,0.009009009,0.333333333,-0.1044999,FALSE,207
SP_825890_0285130,-82.588,28.517,11.916,30,0,0.066666667,-0.104517688,FALSE,208
SP_843980_2899650,-84.398,289.965,19.775,28,0,0.178571429,-0.1045335,FALSE,209
SP_822730_2243490,-82.273,224.347,15.422,89,0,0.08988764,-0.104881043,FALSE,210
SP_804940_3070250,-80.494,307.025,17.433,102,0.058823529,0.392156863,-0.105116995,FALSE,211
SP_848780_1995820,-84.878,199.582,6.577,41,0.097560976,0.390243902,-0.105442719,FALSE,212
SP_851970_2671550,-85.197,267.152,20.714,125,0.064,0.432,-0.105453669,FALSE,213
SP_885720_3307300,-88.572,330.73,9.504,52,0.288461538,0.730769231,-0.105466817,FALSE,214
SP_876960_1043870,-87.696,104.387,7.351,45,0.088888889,0.377777778,-0.105506921,FALSE,215
SP_825510_3282650,-82.551,328.265,7.963,45,0.311111111,0.688888889,-0.105716995,FALSE,216
SP_876600_2623440,-87.66,262.339,13.99,68,0.044117647,0.352941176,-0.10619211,FALSE,217
SP_841710_1745910,-84.171,174.591,5.836,36,0.25,0.694444444,-0.106311231,FALSE,218
SP_838890_3143320,-83.889,314.332,17.708,101,0.148514851,0.613861386,-0.10675806,FALSE,219
SP_849230_2362280,-84.923,236.228,10.382,60,0.233333333,0.583333333,-0.107051944,FALSE,220
SP_885280_1846930,-88.528,184.689,11.624,67,0.014925373,0.313432836,-0.107147454,FALSE,221
SP_886050_2261990,-88.605,226.199,6.34,37,0,0.054054054,-0.107217815,FALSE,222
SP_847630_0851660,-84.763,85.166,5.108,29,0.034482759,0.344827586,-0.107493729,FALSE,223
SP_838860_2839350,-83.886,283.934,10.062,60,0.183333333,0.516666667,-0.107706294,FALSE,224
SP_869020_0278760,-86.902,27.874,11.495,69,0,0.072463768,-0.107795867,FALSE,225
SP_878530_3185060,-87.853,318.505,11.257,63,0.222222222,0.555555556,-0.107817229,FALSE,226
SP_836770_1968510,-83.677,196.851,5.134,31,0,0.096774194,-0.108124597,FALSE,227
SP_843890_1402790,-84.389,140.279,9.882,53,0.226415094,0.773584906,-0.108267542,FALSE,228
SP_845570_2543880,-84.557,254.388,9.979,59,0,0.06779661,-0.108646891,FALSE,229
SP_867600_2959220,-86.76,295.922,5.71,33,0.060606061,0.363636364,-0.108765224,FALSE,230
SP_852830_2061020,-85.282,206.103,16.009,42,0.047619048,0.738095238,-0.108914964,FALSE,231
SP_828030_1905080,-82.803,190.508,6.959,40,0.275,0.725,-0.109225711,FALSE,232
SP_893260_0196510,-89.326,19.651,7.823,44,0.022727273,0.75,-0.109480974,FALSE,233
SP_831940_0871580,-83.194,87.158,5.299,30,0.233333333,0.666666667,-0.109579976,FALSE,234
SP_813790_1708250,-81.379,170.825,8.222,42,0,0.071428571,-0.109891171,FALSE,235
SP_841060_3423520,-84.106,342.352,19.192,112,0,0.205357143,-0.110434733,FALSE,236
SP_855490_2096710,-85.549,209.672,13.979,81,0,0.172839506,-0.110465463,FALSE,237
SP_816780_2566500,-81.678,256.65,8.739,19,0.052631579,0.736842105,-0.110864255,FALSE,238
SP_843700_3057300,-84.37,305.734,11.599,68,0.044117647,0.367647059,-0.11096302,FALSE,239
SP_892100_3421950,-89.21,342.195,5.717,32,0.21875,0.75,-0.11111657,FALSE,240
SP_802040_3230700,-80.204,323.07,5.386,23,0,0.130434783,-0.111166909,FALSE,241
SP_859560_3063890,-85.956,306.389,12.791,79,0.012658228,0.329113924,-0.111289616,FALSE,242
SP_862670_2349900,-86.267,234.99,16.027,95,0.031578947,0.336842105,-0.111468104,FALSE,243
SP_837200_2975300,-83.72,297.531,10.094,57,0,0.719298246,-0.112048316,FALSE,244
SP_840090_2612130,-84.009,261.213,5.573,33,0.181818182,0.575757576,-0.112190836,FALSE,245
SP_818960_3003250,-81.896,300.325,6.109,32,0.125,0.75,-0.112341203,FALSE,246
SP_823970_0589970,-82.397,58.997,7.373,44,0.090909091,0.409090909,-0.112347962,FALSE,247
SP_831800_2218340,-83.18,221.834,5.976,7,0,0.428571429,-0.11266667,FALSE,248
SP_810930_3197620,-81.093,319.762,6.732,26,0,0.115384615,-0.112860234,FALSE,249
SP_836970_1935950,-83.697,193.595,7.805,46,0,0.086956522,-0.113014498,FALSE,250
SP_839950_3514880,-83.995,351.488,13.273,78,0.192307692,0.551282051,-0.113163757,FALSE,251
SP_812340_0890490,-81.234,89.049,24.912,102,0.039215686,0.529411765,-0.113402908,FALSE,252
SP_829960_3218060,-82.996,321.806,5.234,30,0.133333333,0.633333333,-0.113410455,FALSE,253
