PSR_ID,lat,lon,area_km2,px_with_radar_data,high_tier_fraction,moderate_plus_fraction
SP_845460_0695020,-84.546,69.502,6.484,38,0.07894736842105263,0.6578947368421053
SP_814860_0147990,-81.486,14.799,37.039,192,0.078125,0.5260416666666666
SP_831370_3119250,-83.136,311.923,12.438,75,0.06666666666666667,0.4266666666666667
SP_845770_0017070,-84.577,1.709,103.846,378,0.06613756613756613,0.2804232804232804
SP_811360_3570070,-81.136,357.007,130.579,92,0.06521739130434782,0.4891304347826087
SP_812330_0660150,-81.233,66.015,17.099,93,0.06451612903225806,0.5376344086021505
SP_851970_2671550,-85.197,267.152,20.714,125,0.064,0.432
SP_873970_2748620,-87.397,274.862,5.774,32,0.0625,0.3125
SP_858720_3388420,-85.872,338.842,5.756,32,0.0625,0.5
SP_892150_0734730,-89.215,73.473,6.71,16,0.0625,0.3125
SP_868670_2973140,-86.867,297.314,14.249,82,0.06097560975609756,0.524390243902439
SP_878090_3251650,-87.809,325.161,23.281,132,0.06060606060606061,0.4393939393939394
SP_867600_2959220,-86.76,295.922,5.71,33,0.06060606060606061,0.36363636363636365
SP_804940_3070250,-80.494,307.025,17.433,102,0.058823529411764705,0.39215686274509803
SP_816780_2566500,-81.678,256.65,8.739,19,0.05263157894736842,0.7368421052631579
SP_845510_0602900,-84.552,60.281,183.107,1064,0.05169172932330827,0.3806390977443609
SP_809650_0886110,-80.965,88.611,40.45,219,0.0502283105022831,0.5159817351598174
SP_852830_2061020,-85.282,206.103,16.009,42,0.047619047619047616,0.7380952380952381
SP_854150_3078410,-85.415,307.84,127.418,646,0.04643962848297214,0.24613003095975233
SP_830490_3505380,-83.049,350.54,102.211,443,0.045146726862302484,0.5146726862302483
SP_843700_3057300,-84.37,305.734,11.599,68,0.04411764705882353,0.36764705882352944
SP_876600_2623440,-87.66,262.339,13.99,68,0.04411764705882353,0.35294117647058826
SP_828910_2713550,-82.891,271.356,73.786,150,0.04,0.4533333333333333
SP_812340_0890490,-81.234,89.049,24.912,102,0.0392156862745098,0.5294117647058824
